DEBUG 2023-10-03 21:51:53,167 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\functools.py first seen with mtime 1694630745.6353405
DEBUG 2023-10-03 21:51:53,168 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\context.py first seen with mtime 1694630746.4039638
DEBUG 2023-10-03 21:51:53,168 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1696004250.3361554
DEBUG 2023-10-03 21:51:53,168 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\html\entities.py first seen with mtime 1694630745.652969
DEBUG 2023-10-03 21:51:53,168 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\contextlib.py first seen with mtime 1694630744.99247
DEBUG 2023-10-03 21:51:53,168 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\files\utils.py first seen with mtime 1696004250.2549636
DEBUG 2023-10-03 21:51:53,168 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1696004250.8548586
DEBUG 2023-10-03 21:51:53,169 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\forms\widgets.py first seen with mtime 1696004250.6369195
DEBUG 2023-10-03 21:51:53,169 autoreload File C:\Users\alecb\.virtualenvs\alecb-IuTAPro5\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1696004250.3401146
DEBUG 2023-10-03 21:51:53,169 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0\Lib\email\base64mime.py first seen with mtime 1694630745.1807194
